target,calib_type,bin_id,bin_low,bin_high,n,mean_conf,empirical_rate,abs_gap
abl1,label,0,-5.88,-5.5385,4,-5.762499999999999,0.0,5.762499999999999
abl1,label,1,-5.5385,-5.197,12,-5.3100000000000005,0.0,5.3100000000000005
abl1,label,2,-5.197,-4.855499999999999,30,-4.995333333333334,0.0,4.995333333333334
abl1,label,3,-4.855499999999999,-4.513999999999999,45,-4.6608888888888895,0.0,4.6608888888888895
abl1,label,4,-4.513999999999999,-4.172499999999999,99,-4.32121212121212,0.0,4.32121212121212
abl1,label,5,-4.172499999999999,-3.831,250,-3.9752,0.0,3.9752
abl1,label,6,-3.831,-3.4895,436,-3.654128440366972,0.0022935779816513,3.656422018348624
abl1,label,7,-3.4895,-3.148,636,-3.3036635220125787,0.0031446540880503,3.306808176100629
abl1,label,8,-3.148,-2.8065,1025,-2.963521951219512,0.0078048780487804,2.9713268292682926
abl1,label,9,-2.8065,-2.465,1261,-2.628136399682792,0.0055511498810467,2.633687549563838
abl1,label,10,-2.465,-2.1234999999999995,1492,-2.2900067024128683,0.0107238605898123,2.3007305630026806
abl1,label,11,-2.1234999999999995,-1.7819999999999991,1488,-1.955981182795699,0.0194892473118279,1.975470430107527
abl1,label,12,-1.7819999999999991,-1.4404999999999992,1405,-1.620341637010676,0.0241992882562277,1.644540925266904
abl1,label,13,-1.4404999999999992,-1.0989999999999993,1045,-1.2862296650717702,0.0535885167464114,1.3398181818181816
abl1,label,14,-1.0989999999999993,-0.7574999999999994,699,-0.9252503576537912,0.0472103004291845,0.9724606580829755
abl1,label,15,-0.7574999999999994,-0.4159999999999995,531,-0.5884369114877589,0.0659133709981167,0.6543502824858757
abl1,label,16,-0.4159999999999995,-0.0744999999999995,353,-0.2577620396600567,0.0906515580736544,0.348413597733711
abl1,label,17,-0.0744999999999995,0.2670000000000003,219,0.0591324200913241,0.1095890410958904,0.0504566210045662
abl1,label,18,0.2670000000000003,0.6085000000000003,68,0.3780882352941175,0.2205882352941176,0.1574999999999999
abl1,label,19,0.6085000000000003,0.95,12,0.75,0.25,0.5
abl1,pose,0,-3.69,-3.4675,1,-3.69,0.0,3.69
abl1,pose,1,-3.4675,-3.245,1,-3.34,0.0,3.34
abl1,pose,2,-3.245,-3.0225,3,-3.1166666666666667,0.0,3.1166666666666667
abl1,pose,3,-3.0225,-2.8,6,-2.9133333333333336,0.0,2.9133333333333336
abl1,pose,4,-2.8,-2.5775,2,-2.725,0.0,2.725
abl1,pose,5,-2.5775,-2.355,8,-2.46875,0.25,2.71875
abl1,pose,6,-2.355,-2.1325,13,-2.2023076923076923,0.0,2.2023076923076923
abl1,pose,7,-2.1325,-1.91,21,-2.003333333333333,0.0476190476190476,2.0509523809523804
abl1,pose,8,-1.91,-1.6875,19,-1.7899999999999998,0.1052631578947368,1.8952631578947368
abl1,pose,9,-1.6875,-1.465,21,-1.581904761904762,0.0952380952380952,1.677142857142857
abl1,pose,10,-1.465,-1.2424999999999995,38,-1.3407894736842103,0.131578947368421,1.472368421052631
abl1,pose,11,-1.2424999999999995,-1.02,25,-1.1512,0.48,1.6312
abl1,pose,12,-1.02,-0.7974999999999999,24,-0.9091666666666668,0.3333333333333333,1.2425
abl1,pose,13,-0.7974999999999999,-0.5749999999999997,20,-0.6709999999999999,0.4,1.071
abl1,pose,14,-0.5749999999999997,-0.3525,26,-0.4649999999999999,0.4230769230769231,0.888076923076923
abl1,pose,15,-0.3525,-0.1299999999999999,21,-0.21,0.3333333333333333,0.5433333333333333
abl1,pose,16,-0.1299999999999999,0.0925000000000002,17,-0.0358823529411764,0.6470588235294118,0.6829411764705883
abl1,pose,17,0.0925000000000002,0.3149999999999999,13,0.1915384615384615,0.5384615384615384,0.3469230769230769
abl1,pose,18,0.3149999999999999,0.5375000000000001,12,0.4025,0.9166666666666666,0.5141666666666667
abl1,pose,19,0.5375000000000001,0.76,4,0.6675000000000001,1.0,0.3324999999999999
akt1,label,0,-5.39,-5.0715,7,-5.281428571428571,0.0,5.281428571428571
akt1,label,1,-5.0715,-4.753,8,-4.866250000000001,0.0,4.866250000000001
akt1,label,2,-4.753,-4.4345,29,-4.586206896551724,0.0,4.586206896551724
akt1,label,3,-4.4345,-4.116,55,-4.235272727272728,0.0363636363636363,4.271636363636364
akt1,label,4,-4.116,-3.7975,122,-3.936557377049181,0.0,3.936557377049181
akt1,label,5,-3.7975,-3.479,257,-3.623229571984436,0.0389105058365758,3.662140077821012
akt1,label,6,-3.479,-3.1605,312,-3.3089423076923072,0.0192307692307692,3.3281730769230764
akt1,label,7,-3.1605,-2.842,495,-2.998040404040404,0.0202020202020202,3.018242424242424
akt1,label,8,-2.842,-2.5235000000000003,621,-2.676425120772947,0.0305958132045088,2.707020933977456
akt1,label,9,-2.5235000000000003,-2.205,818,-2.358166259168704,0.0464547677261613,2.4046210268948656
akt1,label,10,-2.205,-1.8865000000000005,1051,-2.035337773549001,0.0352045670789724,2.070542340627973
akt1,label,11,-1.8865000000000005,-1.5680000000000005,1237,-1.7248100242522233,0.057396928051738,1.7822069523039614
akt1,label,12,-1.5680000000000005,-1.2495000000000005,1264,-1.4071439873417722,0.0427215189873417,1.449865506329114
akt1,label,13,-1.2495000000000005,-0.931,956,-1.0940794979079498,0.0596234309623431,1.153702928870293
akt1,label,14,-0.931,-0.6125000000000007,712,-0.7897752808988763,0.0632022471910112,0.8529775280898875
akt1,label,15,-0.6125000000000007,-0.2940000000000005,325,-0.4791076923076923,0.0953846153846153,0.5744923076923077
akt1,label,16,-0.2940000000000005,0.0244999999999997,99,-0.1611111111111111,0.2626262626262626,0.4237373737373737
akt1,label,17,0.0244999999999997,0.3429999999999991,17,0.1352941176470588,0.4705882352941176,0.3352941176470588
akt1,label,18,0.3429999999999991,0.6614999999999993,7,0.4828571428571427,0.5714285714285714,0.0885714285714286
akt1,label,19,0.6614999999999993,0.98,3,0.9533333333333333,1.0,0.0466666666666667
akt1,pose,0,-4.15,-3.8935,2,-4.140000000000001,0.5,4.640000000000001
akt1,pose,1,-3.8935,-3.637000000000001,5,-3.688,0.0,3.688
akt1,pose,2,-3.637000000000001,-3.3805,6,-3.5666666666666664,0.1666666666666666,3.733333333333333
akt1,pose,3,-3.3805,-3.124,9,-3.232222222222222,0.0,3.232222222222222
akt1,pose,4,-3.124,-2.8675,5,-2.99,0.0,2.99
akt1,pose,5,-2.8675,-2.611,10,-2.733,0.2,2.9330000000000003
akt1,pose,6,-2.611,-2.3545,27,-2.488148148148148,0.037037037037037,2.5251851851851854
akt1,pose,7,-2.3545,-2.098,32,-2.2340625,0.03125,2.2653125
akt1,pose,8,-2.098,-1.8415,33,-1.963636363636364,0.0303030303030303,1.993939393939394
akt1,pose,9,-1.8415,-1.585,60,-1.709,0.0333333333333333,1.7423333333333335
akt1,pose,10,-1.585,-1.3284999999999996,48,-1.4489583333333336,0.125,1.5739583333333336
akt1,pose,11,-1.3284999999999996,-1.0719999999999996,46,-1.1817391304347828,0.0434782608695652,1.225217391304348
akt1,pose,12,-1.0719999999999996,-0.8154999999999997,43,-0.9388372093023256,0.1395348837209302,1.078372093023256
akt1,pose,13,-0.8154999999999997,-0.5589999999999993,31,-0.678709677419355,0.1612903225806451,0.8400000000000001
akt1,pose,14,-0.5589999999999993,-0.3024999999999993,23,-0.4304347826086956,0.1739130434782608,0.6043478260869565
akt1,pose,15,-0.3024999999999993,-0.0459999999999993,21,-0.1757142857142856,0.1428571428571428,0.3185714285714285
akt1,pose,16,-0.0459999999999993,0.2105000000000005,9,0.0344444444444444,0.1111111111111111,0.0766666666666666
akt1,pose,17,0.2105000000000005,0.4670000000000005,6,0.33,0.3333333333333333,0.0033333333333332
akt1,pose,18,0.4670000000000005,0.7235000000000005,2,0.55,1.0,0.4499999999999999
akt1,pose,19,0.7235000000000005,0.98,3,0.9533333333333333,1.0,0.0466666666666667
akt2,label,0,-5.6,-5.279999999999999,3,-5.476666666666667,0.0,5.476666666666667
akt2,label,1,-5.279999999999999,-4.96,3,-5.096666666666667,0.0,5.096666666666667
akt2,label,2,-4.96,-4.64,13,-4.737692307692307,0.0,4.737692307692307
akt2,label,3,-4.64,-4.32,47,-4.472127659574468,0.0,4.472127659574468
akt2,label,4,-4.32,-4.0,117,-4.137777777777778,0.0085470085470085,4.1463247863247865
akt2,label,5,-4.0,-3.68,243,-3.8243209876543207,0.0164609053497942,3.840781893004115
akt2,label,6,-3.68,-3.36,346,-3.511936416184972,0.0144508670520231,3.5263872832369945
akt2,label,7,-3.36,-3.04,509,-3.2015520628683696,0.0117878192534381,3.2133398821218075
akt2,label,8,-3.04,-2.72,676,-2.87621301775148,0.0266272189349112,2.902840236686391
akt2,label,9,-2.72,-2.4000000000000004,834,-2.552721822541966,0.0227817745803357,2.5755035971223017
akt2,label,10,-2.4000000000000004,-2.08,993,-2.235840886203424,0.0281973816717019,2.264038267875126
akt2,label,11,-2.08,-1.7600000000000002,1084,-1.9251845018450184,0.0350553505535055,1.960239852398524
akt2,label,12,-1.7600000000000002,-1.4400000000000004,919,-1.6130903155603915,0.0239390642002176,1.637029379760609
akt2,label,13,-1.4400000000000004,-1.12,575,-1.303095652173913,0.0365217391304347,1.339617391304348
akt2,label,14,-1.12,-0.8000000000000007,360,-0.9820833333333334,0.025,1.007083333333333
akt2,label,15,-0.8000000000000007,-0.4800000000000004,201,-0.6631840796019901,0.0298507462686567,0.6930348258706468
akt2,label,16,-0.4800000000000004,-0.1600000000000001,110,-0.3499090909090909,0.0272727272727272,0.3771818181818182
akt2,label,17,-0.1600000000000001,0.1599999999999992,57,-0.029298245614035,0.0701754385964912,0.0994736842105263
akt2,label,18,0.1599999999999992,0.4799999999999995,26,0.265,0.1153846153846153,0.1496153846153846
akt2,label,19,0.4799999999999995,0.8,5,0.6180000000000001,0.6,0.0180000000000001
akt2,pose,0,-4.23,-3.9785,1,-4.23,0.0,4.23
akt2,pose,1,-3.9785,-3.727,3,-3.8966666666666665,0.0,3.8966666666666665
akt2,pose,2,-3.727,-3.4755000000000003,2,-3.625,0.5,4.125
akt2,pose,3,-3.4755000000000003,-3.224,6,-3.365,0.0,3.365
akt2,pose,4,-3.224,-2.9725,7,-3.0542857142857143,0.1428571428571428,3.197142857142857
akt2,pose,5,-2.9725,-2.7210000000000005,15,-2.87,0.0666666666666666,2.9366666666666665
akt2,pose,6,-2.7210000000000005,-2.4695000000000005,14,-2.599285714285714,0.1428571428571428,2.742142857142857
akt2,pose,7,-2.4695000000000005,-2.2180000000000004,16,-2.3375,0.1875,2.525
akt2,pose,8,-2.2180000000000004,-1.9665000000000004,31,-2.109354838709677,0.1612903225806451,2.2706451612903225
akt2,pose,9,-1.9665000000000004,-1.7150000000000003,27,-1.8366666666666664,0.2962962962962963,2.1329629629629627
akt2,pose,10,-1.7150000000000003,-1.4635000000000002,19,-1.5699999999999998,0.2631578947368421,1.8331578947368417
akt2,pose,11,-1.4635000000000002,-1.2120000000000006,19,-1.3447368421052632,0.2105263157894736,1.555263157894737
akt2,pose,12,-1.2120000000000006,-0.9605000000000006,8,-1.085,0.25,1.335
akt2,pose,13,-0.9605000000000006,-0.7090000000000005,7,-0.8342857142857144,0.8571428571428571,1.6914285714285715
akt2,pose,14,-0.7090000000000005,-0.4575000000000004,2,-0.6599999999999999,1.0,1.66
akt2,pose,15,-0.4575000000000004,-0.2060000000000004,3,-0.34,1.0,1.34
akt2,pose,16,-0.2060000000000004,0.0454999999999996,4,0.0025,0.75,0.7475
akt2,pose,17,0.0454999999999996,0.2969999999999997,2,0.19,0.5,0.31
akt2,pose,18,0.2969999999999997,0.5484999999999998,1,0.45,0.0,0.45
akt2,pose,19,0.5484999999999998,0.8,3,0.6900000000000001,0.0,0.6900000000000001
braf,label,0,-5.39,-5.088,3,-5.276666666666667,0.0,5.276666666666667
braf,label,1,-5.088,-4.786,9,-4.874444444444445,0.0,4.874444444444445
braf,label,2,-4.786,-4.484,21,-4.614285714285715,0.0,4.614285714285715
braf,label,3,-4.484,-4.182,44,-4.3275,0.0,4.3275
braf,label,4,-4.182,-3.88,95,-4.026947368421052,0.0,4.026947368421052
braf,label,5,-3.88,-3.578,161,-3.70832298136646,0.0,3.70832298136646
braf,label,6,-3.578,-3.276,201,-3.423731343283582,0.0,3.423731343283582
braf,label,7,-3.276,-2.974,291,-3.1126804123711342,0.0,3.1126804123711342
braf,label,8,-2.974,-2.672,420,-2.811595238095238,0.0047619047619047,2.8163571428571426
braf,label,9,-2.672,-2.37,544,-2.5136580882352937,0.0110294117647058,2.5246875
braf,label,10,-2.37,-2.068,756,-2.20957671957672,0.0079365079365079,2.217513227513228
braf,label,11,-2.068,-1.766,1026,-1.9110428849902528,0.016569200779727,1.9276120857699808
braf,label,12,-1.766,-1.464,1321,-1.6096820590461771,0.0264950794852384,1.6361771385314157
braf,label,13,-1.464,-1.162,1565,-1.3091501597444088,0.0204472843450479,1.329597444089457
braf,label,14,-1.162,-0.8599999999999994,1539,-1.0139571150097466,0.0220922677063027,1.0360493827160493
braf,label,15,-0.8599999999999994,-0.5579999999999998,1166,-0.7175214408233276,0.0291595197255574,0.746680960548885
braf,label,16,-0.5579999999999998,-0.2560000000000002,635,-0.4181732283464566,0.0299212598425196,0.4480944881889763
braf,label,17,-0.2560000000000002,0.0460000000000002,355,-0.1191549295774647,0.0394366197183098,0.1585915492957746
braf,label,18,0.0460000000000002,0.3479999999999998,137,0.1774452554744525,0.1824817518248175,0.0050364963503649
braf,label,19,0.3479999999999998,0.65,49,0.4583673469387755,0.5510204081632653,0.0926530612244897
braf,pose,0,-2.92,-2.7415,2,-2.87,0.0,2.87
braf,pose,1,-2.7415,-2.563,0,,,
braf,pose,2,-2.563,-2.3845,5,-2.498,0.0,2.498
braf,pose,3,-2.3845,-2.206,4,-2.2925,0.25,2.5425
braf,pose,4,-2.206,-2.0275,6,-2.0849999999999995,0.0,2.0849999999999995
braf,pose,5,-2.0275,-1.849,9,-1.9166666666666667,0.2222222222222222,2.138888888888889
braf,pose,6,-1.849,-1.6705,17,-1.74,0.2352941176470588,1.9752941176470589
braf,pose,7,-1.6705,-1.492,19,-1.588421052631579,0.1052631578947368,1.6936842105263157
braf,pose,8,-1.492,-1.3135,22,-1.4095454545454544,0.0454545454545454,1.4549999999999998
braf,pose,9,-1.3135,-1.135,20,-1.2054999999999998,0.35,1.5555
braf,pose,10,-1.135,-0.9565,18,-1.0472222222222225,0.2777777777777778,1.3250000000000002
braf,pose,11,-0.9565,-0.778,20,-0.8644999999999999,0.55,1.4145
braf,pose,12,-0.778,-0.5994999999999999,22,-0.6790909090909091,0.6818181818181818,1.3609090909090908
braf,pose,13,-0.5994999999999999,-0.4210000000000002,12,-0.4958333333333333,0.5833333333333334,1.0791666666666666
braf,pose,14,-0.4210000000000002,-0.2425000000000001,10,-0.362,0.5,0.862
braf,pose,15,-0.2425000000000001,-0.064,7,-0.1699999999999999,0.8571428571428571,1.0271428571428571
braf,pose,16,-0.064,0.1145,7,0.0285714285714285,1.0,0.9714285714285714
braf,pose,17,0.1145,0.2930000000000001,18,0.2161111111111111,1.0,0.7838888888888889
braf,pose,18,0.2930000000000001,0.4714999999999998,24,0.3941666666666666,1.0,0.6058333333333334
braf,pose,19,0.4714999999999998,0.65,9,0.5466666666666666,1.0,0.4533333333333333
csf1r,label,0,-6.07,-5.721500000000001,1,-6.07,0.0,6.07
csf1r,label,1,-5.721500000000001,-5.373,2,-5.5600000000000005,0.0,5.5600000000000005
csf1r,label,2,-5.373,-5.0245,5,-5.214,0.0,5.214
csf1r,label,3,-5.0245,-4.676,9,-4.796666666666667,0.0,4.796666666666667
csf1r,label,4,-4.676,-4.327500000000001,23,-4.456086956521738,0.0,4.456086956521738
csf1r,label,5,-4.327500000000001,-3.979,43,-4.12093023255814,0.0,4.12093023255814
csf1r,label,6,-3.979,-3.6305,85,-3.7682352941176473,0.0,3.7682352941176473
csf1r,label,7,-3.6305,-3.282,159,-3.439308176100629,0.0,3.439308176100629
csf1r,label,8,-3.282,-2.9335,340,-3.0884117647058824,0.0,3.0884117647058824
csf1r,label,9,-2.9335,-2.585,501,-2.7482035928143715,0.0079840319361277,2.7561876247504995
csf1r,label,10,-2.585,-2.2365,837,-2.395686977299881,0.010752688172043,2.406439665471924
csf1r,label,11,-2.2365,-1.888,1346,-2.047295690936107,0.0081723625557206,2.055468053491828
csf1r,label,12,-1.888,-1.5395000000000003,1778,-1.7001293588301465,0.0073115860517435,1.7074409448818897
csf1r,label,13,-1.5395000000000003,-1.1909999999999998,2184,-1.3621382783882785,0.0151098901098901,1.3772481684981683
csf1r,label,14,-1.1909999999999998,-0.8424999999999994,2186,-1.025274473924977,0.0224153705397987,1.0476898444647758
csf1r,label,15,-0.8424999999999994,-0.4939999999999998,1734,-0.6792214532871972,0.02479815455594,0.7040196078431372
csf1r,label,16,-0.4939999999999998,-0.1455000000000001,950,-0.3398631578947368,0.0347368421052631,0.3746
csf1r,label,17,-0.1455000000000001,0.2030000000000003,364,0.0009065934065934,0.1071428571428571,0.1062362637362637
csf1r,label,18,0.2030000000000003,0.5515000000000008,119,0.355798319327731,0.3529411764705882,0.0028571428571427
csf1r,label,19,0.5515000000000008,0.9,22,0.6786363636363636,0.4545454545454545,0.224090909090909
csf1r,pose,0,-2.85,-2.6625,4,-2.76,0.25,3.01
csf1r,pose,1,-2.6625,-2.475,3,-2.51,0.0,2.51
csf1r,pose,2,-2.475,-2.2875,5,-2.372,0.2,2.572
csf1r,pose,3,-2.2875,-2.1,3,-2.21,0.3333333333333333,2.543333333333333
csf1r,pose,4,-2.1,-1.9125,8,-2.00375,0.25,2.25375
csf1r,pose,5,-1.9125,-1.725,6,-1.83,0.1666666666666666,1.9966666666666664
csf1r,pose,6,-1.725,-1.5375,8,-1.62875,0.125,1.75375
csf1r,pose,7,-1.5375,-1.35,13,-1.43,0.0769230769230769,1.5069230769230768
csf1r,pose,8,-1.35,-1.1625,24,-1.2645833333333334,0.5,1.7645833333333334
csf1r,pose,9,-1.1625,-0.975,27,-1.0492592592592591,0.6296296296296297,1.6788888888888889
csf1r,pose,10,-0.975,-0.7875000000000001,31,-0.8748387096774194,0.6774193548387096,1.552258064516129
csf1r,pose,11,-0.7875000000000001,-0.6000000000000001,16,-0.7012499999999999,0.8125,1.51375
csf1r,pose,12,-0.6000000000000001,-0.4125000000000001,21,-0.5123809523809523,0.8571428571428571,1.3695238095238094
csf1r,pose,13,-0.4125000000000001,-0.2250000000000001,18,-0.3277777777777777,0.8333333333333334,1.161111111111111
csf1r,pose,14,-0.2250000000000001,-0.0375,20,-0.1174999999999999,0.9,1.0175
csf1r,pose,15,-0.0375,0.1499999999999999,20,0.0585,0.9,0.8415
csf1r,pose,16,0.1499999999999999,0.3374999999999999,18,0.2344444444444444,0.8333333333333334,0.5988888888888889
csf1r,pose,17,0.3374999999999999,0.5249999999999999,30,0.4366666666666666,0.9,0.4633333333333334
csf1r,pose,18,0.5249999999999999,0.7124999999999999,7,0.5985714285714285,0.5714285714285714,0.0271428571428571
csf1r,pose,19,0.7124999999999999,0.9,4,0.7925,0.25,0.5425
egfr,label,0,-5.79,-5.4615,1,-5.79,0.0,5.79
egfr,label,1,-5.4615,-5.133,3,-5.213333333333334,0.0,5.213333333333334
egfr,label,2,-5.133,-4.8045,2,-4.995,0.0,4.995
egfr,label,3,-4.8045,-4.476,9,-4.623333333333333,0.0,4.623333333333333
egfr,label,4,-4.476,-4.1475,68,-4.283676470588236,0.0,4.283676470588236
egfr,label,5,-4.1475,-3.819,151,-3.959470198675497,0.0,3.959470198675497
egfr,label,6,-3.819,-3.4905,277,-3.643574007220217,0.0072202166064981,3.650794223826715
egfr,label,7,-3.4905,-3.162,451,-3.3211529933481154,0.0133037694013303,3.3344567627494457
egfr,label,8,-3.162,-2.8335,621,-2.987536231884058,0.0048309178743961,2.9923671497584543
egfr,label,9,-2.8335,-2.505,889,-2.659370078740157,0.0033745781777277,2.6627446569178854
egfr,label,10,-2.505,-2.1765,1242,-2.329057971014493,0.0056360708534621,2.334694041867955
egfr,label,11,-2.1765,-1.848,1784,-2.003621076233184,0.0078475336322869,2.011468609865472
egfr,label,12,-1.848,-1.5195,2733,-1.670318331503842,0.0032930845225027,1.673611416026345
egfr,label,13,-1.5195,-1.1909999999999998,3421,-1.351072785735165,0.007892429114294,1.358965214849459
egfr,label,14,-1.1909999999999998,-0.8624999999999998,3942,-1.0260071029934044,0.0180111618467782,1.0440182648401826
egfr,label,15,-0.8624999999999998,-0.5339999999999998,4107,-0.707655222790358,0.0433406379352325,0.7509958607255905
egfr,label,16,-0.5339999999999998,-0.2054999999999998,2392,-0.3898411371237458,0.1107859531772575,0.5006270903010033
egfr,label,17,-0.2054999999999998,0.1230000000000002,1000,-0.07927,0.171,0.25027
egfr,label,18,0.1230000000000002,0.4515000000000002,141,0.232482269503546,0.2127659574468085,0.0197163120567375
egfr,label,19,0.4515000000000002,0.78,16,0.5775,0.3125,0.265
egfr,pose,0,-3.71,-3.491,2,-3.63,0.0,3.63
egfr,pose,1,-3.491,-3.272,4,-3.41,0.0,3.41
egfr,pose,2,-3.272,-3.053,2,-3.2,0.0,3.2
egfr,pose,3,-3.053,-2.834,3,-3.0066666666666664,0.0,3.0066666666666664
egfr,pose,4,-2.834,-2.615,1,-2.8,0.0,2.8
egfr,pose,5,-2.615,-2.396,6,-2.47,0.0,2.47
egfr,pose,6,-2.396,-2.177,3,-2.286666666666666,0.0,2.286666666666666
egfr,pose,7,-2.177,-1.958,9,-2.038888888888889,0.0,2.038888888888889
egfr,pose,8,-1.958,-1.739,8,-1.8625,0.0,1.8625
egfr,pose,9,-1.739,-1.52,6,-1.635,0.0,1.635
egfr,pose,10,-1.52,-1.3010000000000002,17,-1.3994117647058824,0.1764705882352941,1.5758823529411763
egfr,pose,11,-1.3010000000000002,-1.082,28,-1.1785714285714286,0.1071428571428571,1.2857142857142858
egfr,pose,12,-1.082,-0.863,53,-0.9675471698113208,0.1132075471698113,1.0807547169811322
egfr,pose,13,-0.863,-0.6440000000000001,97,-0.7477319587628866,0.2268041237113402,0.9745360824742269
