target,coverage_rate,fail_rate,skip_rate,retry_rate,ROC_AUC,LogAUC,BEDROC,EF_1pct,EF_5pct,EF_10pct,nEF_1pct,nEF_5pct,nEF_10pct,clash_rate_all,clash_rate_top1pct,pocket_in_rate_all,pocket_in_rate_top1pct,mean_COMdist,active_mean_COMdist,top1_mean_COMdist,COMdist2rate,pEFB_1pct,pEFB_5pct,pEFB_10pct,pEFB_max,pEFB_max_chi,pEFB_max_threshold
abl1,0.9937388193202148,0.0053667262969588,0.0008944543828264,0.0062611806797853,0.7757043980598398,17.447837403433255,0.2600378441615438,7.4443099273607745,4.47457627118644,3.6271186440677967,0.1746505676225473,0.1828724353256021,0.2919020715630885,0.628443649373882,0.036036036036036,0.3688729874776386,1.0,49.47026686715174,5.425964565527207,1.4857652996112756,0.3084745762711864,8.15141242937853,4.796273059275213,3.691627769938127,16.92985658409387,0.0022179096201829776,0.38
akt1,0.9996470380610624,0.0003529619389375,0.0,0.0003529619389375,0.818108168008434,20.25224873501818,0.2721985330425489,10.63767209011264,4.538740091781393,3.5458906967042134,0.2459420423574835,0.1862494785148101,0.2828767440782459,0.2796635096182128,0.1420118343195266,0.2799576445673274,0.893491124260355,9.883990337134229,4.462140558973898,4.2008177518653005,0.1016548463356974,9.58722618105041,3.481731172278888,2.370540372615413,52.08669833729217,0.0005016302984700275,0.22
akt2,0.9970596471576588,0.0021002520302436,0.0008401008120974,0.002940352842341,0.579701789715947,4.766775653400764,0.1126690905359969,5.220760233918129,1.6799764775066155,1.4194626426205377,0.1153544943101905,0.0357882356582429,0.0466069602911708,0.7434892187062447,0.2112676056338028,0.6423970876505181,0.8873239436619719,8.186041637714897,3.856901721253733,3.5616327975515976,0.2473684210526315,5.137879911045219,1.6581339712918661,1.4030364372469635,109.43684210526315,0.00014427932477276007,0.52
braf,0.9989370953715336,0.0,0.0010629046284665,0.0010629046284665,0.6962179012214166,18.64647303889,0.2986416190284437,17.047463990193073,5.173783629958929,3.2666166252862947,0.3988822996175937,0.2196728226294173,0.2518462916984771,0.4644893226398686,0.058252427184466,0.9083003188713884,1.0,4.764768584450738,2.5659167038487927,1.5557958177004685,0.4940239043824701,20.29257228511696,5.210920561369453,3.276563686315641,64.2996015936255,0.001288787548329533,0.4
cdk2,1.0,0.0,0.0,0.0,0.8137371413212501,20.636410179393284,0.3115647464413752,6.49977683935867,5.936995887109676,4.422951474119559,0.1549287601598495,0.2598418887952461,0.3803279415688398,0.503227357000618,0.3367697594501718,0.5583327611069148,0.9896907216494846,11.661397611540156,4.06770667218378,2.987356906295316,0.4273182957393484,6.902079920575825,5.874600733467409,4.372526504914161,188.57468354430378,4.027548431269886e-05,1.17
csf1r,0.9975627014702414,0.0007076027989621,0.0017296957307964,0.0024372985297586,0.751050104082357,23.02621671262232,0.3606891490178606,17.02444820804196,6.922532656023222,4.0905874785591765,0.3686151522158771,0.3117122450538538,0.3433986087287974,0.4701627486437613,0.1181102362204724,0.9566003616636528,1.0,3.007774772723217,2.217804758602041,1.7411079215597394,0.6538461538461539,21.161454545454546,6.998561565017262,4.206409521078291,50.21052631578948,0.001451378809869376,0.47
egfr,0.9984010586094724,0.0001654077300545,0.001433533660473,0.0015989413905276,0.8513758631382584,25.5268534368592,0.3794701615967749,8.887860245814792,7.186311328555679,5.720207679586125,0.1851673078414848,0.3255953330818778,0.524467519954014,0.2973755306831339,0.1961325966850828,0.5283398577493521,1.0,6.544755020665849,3.545682152436948,2.2234762249657,0.296875,7.338913411472283,5.803714697839683,4.942328549647118,14.196586599241467,0.00035620463956543034,0.5
fak1,1.0,0.0,0.0,0.0,0.9018540891287828,32.504793173830336,0.4420919417107534,19.00877192982456,8.239638952453598,5.960589880498348,0.3800444279896335,0.3810336290765052,0.5511766533887053,0.4726250906453952,0.0363636363636363,0.7726613488034808,1.0,6.361830885112701,1.3762874043763031,1.0365338736920255,0.912280701754386,21.917641325536064,9.258788114196932,6.444025217308244,78.90350877192982,0.0005558643690939411,0.56
fgfr1,0.9818963566417742,0.0167458701063589,0.0013577732518669,0.0181036433582258,0.7437603429154596,13.259037113472104,0.1927334112620974,2.857650957885377,4.027865490413099,3.524382304111462,0.0296831225596122,0.1593613416006894,0.2804869226790513,0.6276306856754922,0.0795454545454545,0.6940484272459833,1.0,9.099973789206636,4.724775980867132,2.615287938054033,0.1151079136690647,3.4512165548460105,4.1980629619311385,3.6345874576440935,4.3327111610459745,0.046024124604754656,-0.17
igf1r,0.9950171286203676,0.0045676320979964,0.000415239281636,0.0049828713796325,0.7862162050290172,19.18006041775585,0.2984064848406322,7.030745369947997,5.394310211875298,4.377350089964381,0.1448866220482882,0.2312794848355419,0.3752611211071534,0.5482196615799855,0.125,0.8602719817294716,1.0,5.072070646184045,2.22829038810362,1.1883670462392306,0.5309734513274337,8.19602691740413,5.928383791336749,4.552171777750494,11.294046661303298,0.0010684902233144566,0.42
jak2,0.9973305650304018,0.0007415097137772,0.0019279252558208,0.0026694349695981,0.8419262697491743,24.041837948092965,0.364969273410247,4.5368127643214144,7.041072050121824,5.810961026385863,0.0821141658484334,0.3179511605327276,0.5345512251539848,0.3962627910425627,0.0149253731343283,0.9491324336348806,1.0,3.0344224662418795,1.673060792519698,1.8116650629436637,0.7450980392156863,6.136321195144725,8.309601618425148,6.014902358711115,42.954248366013076,0.00015216068167985393,1.05
kit,0.988122640640825,0.0104962710615965,0.0013810882975784,0.011877359359175,0.6760159463288882,8.845870533338214,0.1352058316779495,3.1632445026940443,1.9806620564892623,1.9428345088418688,0.0513844485511263,0.0516137924468032,0.1047593898713187,0.6770094834729767,0.3981481481481481,0.600681336893472,0.9814814814814816,10.846733699661026,4.667984795006462,1.9343457472766008,0.3412698412698413,3.1446540880503147,1.9617074701820463,1.9765970904490828,27.777777777777775,0.0005714285714285715,0.27
kpcb,0.9906511218653762,0.007479102507699,0.0018697756269247,0.0093488781346238,0.4254321774558293,5.243337996653057,0.1826210924469933,10.071783055654024,3.142396313364056,1.9740694789081887,0.254387403641135,0.1127577007033713,0.1082299421009098,0.312472503299604,0.0222222222222222,0.8567971843378794,1.0,5.103742376286131,4.189707471125552,1.441133432221831,0.4959677419354839,13.363636363636363,3.9876935291782454,2.516692347200822,178.1818181818182,0.00011337868480725624,0.73
mapk2,1.0,0.0,0.0,0.0,0.8335905381787876,29.55830295901183,0.4520824840351028,16.377893950709485,8.045778352219784,5.194174757281553,0.5073424333514021,0.370830439590515,0.4660194174757281,0.3728682170542635,0.03125,0.608062015503876,1.0,9.33113589114138,3.060138394467161,1.44844171319017,0.5825242718446602,21.36493432324386,8.56788648244959,5.594372613076888,227.002427184466,0.00032076984763432237,0.87
met,0.996917016356941,0.002055322428706,0.001027661214353,0.003082983643059,0.8619021297280091,26.382935390312472,0.3983830255447863,8.180608098640885,8.194615989220749,6.145961991915563,0.1532465998485415,0.378663999432671,0.5717735546572847,0.5887642373897405,0.0948275862068965,0.819816733750107,0.913793103448276,6.3133269269339785,2.686110523264727,3.888947403443679,0.3319672131147541,11.090302861906085,8.991135608148422,6.26969212315074,11.090302861906085,0.00990880392844616,0.19
mk01,0.9928676316341516,0.0056639395846444,0.0014684287812041,0.0071323683658485,0.7177215012778023,11.4198677811638,0.1826213597235414,5.001348920863309,3.300352186869751,2.15691597665264,0.1201788029386344,0.1210711677299869,0.1285462196280711,0.6414936018460248,0.0425531914893617,0.6119152506817706,0.9787234042553192,10.365216304274073,2.318567209606328,1.7567877825870366,0.5683453237410072,5.029402564904598,3.2907284561960823,2.2273068501720363,9.013734466971878,0.00239442751414889,0.49
mk10,0.9985507246376812,0.0002898550724637,0.001159420289855,0.0014492753623188,0.7438745391590674,13.205533032173404,0.1860852789409736,4.838709677419355,2.795698924731183,2.5806451612903225,0.1063449508489723,0.0945104697226938,0.1756272401433691,0.3082608695652173,0.0,0.8868115942028986,0.9855072463768116,4.318475477704823,1.6897021840343285,1.952832482236542,0.6881720430107527,5.830487033523086,2.9167754366337246,2.7643607066958475,6.865335381464415,0.006115751789976134,0.46
mk14,1.0,0.0,0.0,0.0,0.7312852929388923,17.426059048816235,0.2810487490658601,11.45914789164548,5.003722750728402,3.57348344196458,0.2626844620349037,0.2107222500383369,0.2859426046627311,0.4481484456582858,0.0697050938337801,0.3474977909872279,0.9946380697050938,18.41482829451108,11.936584682406762,3.0555349910140377,0.1191256830601092,11.776339996916594,4.872103052523635,3.4232475824815785,203.0622950819672,6.458488067943295e-05,0.71
mp2k1,0.9989390545797476,0.0,0.0010609454202522,0.0010609454202522,0.6414588516799193,6.788917883207141,0.1172639748738726,4.948760330578512,1.8970247933884297,1.2799355586056518,0.1159568013590583,0.0472118312309699,0.0311039509561835,0.8402687728397973,0.8571428571428571,0.2301072733702699,0.2142857142857142,13.934603787935568,11.008316287612574,9.809248476426893,0.1115702479338843,4.97802862326144,1.8628099173553718,1.3162381204592923,85.0413223140496,0.00012147716229348882,0.66
plk1,0.9995735001421666,0.0001421666192777,0.0002843332385555,0.0004264998578333,0.7509957842709696,20.824649348124648,0.325092649093225,10.226624261699229,6.188269794721407,4.5767412023460405,0.2078974793666783,0.2730668313011267,0.39741568914956,0.4489621836792721,0.0142857142857142,0.883565538811487,1.0,4.712265966210342,3.098950648152369,1.9777685107966327,0.3483870967741935,12.215427769985975,6.195710938907911,4.886722968295722,118.29677419354839,0.0004363001745200698,0.65
rock1,0.995288753799392,0.0034954407294832,0.0012158054711246,0.0047112462006079,0.8227767430830162,21.77560357058672,0.3262020459071193,8.349007314524556,5.41871921182266,4.433497536945812,0.2339420550177959,0.2325641690432979,0.3814997263273125,0.4483282674772036,0.1076923076923077,0.7480243161094224,1.0,1579.2015225035957,1.581062244671589,1.5192801534504006,0.812807881773399,9.32804764851485,6.284158415841584,4.781424881618596,31.420792079207917,0.00015755475027572083,0.82
src,1.0,0.0,0.0,0.0,0.8626636518233204,23.785253891978275,0.3312041808272369,7.819716435068471,6.135469818284491,5.186522262334536,0.1621094527172373,0.2702878851728679,0.4651691402593929,0.3772562168203409,0.2016806722689075,0.6675607711651299,0.988795518207283,6.9625478581173805,6.095423343223161,4.748712307646177,0.0300842358604091,7.73460570142474,5.736422333173479,4.928406045401702,43.58152827918171,0.00013805957270562248,0.7
tgfr1,0.9975440946639876,0.0010046885465505,0.0014512167894619,0.0024559053360125,0.8109324483222918,31.349456871898024,0.4741181115667332,22.315302491103203,8.183226359938994,5.301307511438739,0.6902846605969805,0.378064545259947,0.4779230568265265,0.358785443179281,0.0786516853932584,0.6566197812011609,1.0,8.154128824431846,2.6783392780422424,1.0150387837748678,0.5551601423487544,28.062870699881376,8.463258632297778,5.309255106517819,308.00711743772246,0.00011554015020219527,0.8
vgfr2,0.998069423529866,0.0010425112938723,0.0008880651762616,0.0019305764701339,0.8591701769542232,27.763144155604294,0.410577137115241,11.773738946319591,7.709379748412005,5.644943330427202,0.2642398095936606,0.3531252499164213,0.5161048144919113,0.6512606664349975,0.3217054263565891,0.4320244024865824,0.6744186046511628,10.061206262613686,6.4028742469272695,6.168836873933323,0.1016129032258064,13.359239196591602,8.369484811724805,5.958741997638138,203.45967741935485,3.963692576003805e-05,0.78
wee1,0.9990582326165436,0.000156961230576,0.0007848061528802,0.0009417673834562,0.9314443515545784,36.76949306740784,0.5082559346124749,16.712249087591243,9.329885820195411,7.507642495938495,0.3452964589348732,0.4384150431681795,0.7230713884376105,0.4390205619212055,0.0317460317460317,0.9180662376393032,1.0,3.324686550650225,1.4535309933420426,1.8573650455436088,0.781021897810219,20.530256651754183,10.588475313959286,7.734742416609062,159.1094890510949,0.0003211303789338471,0.68
