complex_name,confidence,label,rank_used,has_rank1
abl1_active_000001,-0.59,1,1,1
abl1_active_000002,-0.88,1,1,1
abl1_active_000003,-0.58,1,1,1
abl1_active_000004,-0.73,1,1,1
abl1_active_000005,-0.59,1,1,1
abl1_active_000006,-2.12,1,1,1
abl1_active_000007,-0.38,1,1,1
abl1_active_000008,-0.41,1,1,1
abl1_active_000009,-0.4,1,1,1
abl1_active_000010,-0.83,1,1,1
abl1_active_000011,-0.87,1,1,1
abl1_active_000012,-1.76,1,1,1
abl1_active_000013,-0.05,1,1,1
abl1_active_000014,-0.17,1,1,1
abl1_active_000015,-1.66,1,1,1
abl1_active_000016,-1.24,1,1,1
abl1_active_000017,-1.86,1,1,1
abl1_active_000018,-0.27,1,1,1
abl1_active_000019,-0.0,1,1,1
abl1_active_000020,-1.56,1,1,1
abl1_active_000021,-1.61,1,1,1
abl1_active_000022,-0.08,1,1,1
abl1_active_000023,-0.19,1,1,1
abl1_active_000024,-0.13,1,1,1
abl1_active_000025,-0.31,1,1,1
abl1_active_000026,-0.06,1,1,1
abl1_active_000027,-1.97,1,1,1
abl1_active_000028,-1.08,1,1,1
abl1_active_000029,-1.95,1,1,1
abl1_active_000030,-1.62,1,1,1
abl1_active_000031,-2.02,1,1,1
abl1_active_000032,-0.18,1,1,1
abl1_active_000033,-0.93,1,1,1
abl1_active_000034,-1.68,1,1,1
abl1_active_000035,-1.58,1,1,1
abl1_active_000036,-1.6,1,1,1
abl1_active_000037,-2.07,1,1,1
abl1_active_000038,-0.44,1,1,1
abl1_active_000039,-1.75,1,1,1
abl1_active_000040,0.36,1,1,1
abl1_active_000041,0.38,1,1,1
abl1_active_000042,-0.93,1,1,1
abl1_active_000043,-1.39,1,1,1
abl1_active_000044,-0.77,1,1,1
abl1_active_000045,0.31,1,1,1
abl1_active_000046,-1.64,1,1,1
abl1_active_000047,-2.49,1,1,1
abl1_active_000048,-1.44,1,1,1
abl1_active_000049,-1.75,1,1,1
abl1_active_000050,-0.56,1,1,1
abl1_active_000051,-0.38,1,1,1
abl1_active_000052,-2.22,1,1,1
abl1_active_000053,-2.14,1,1,1
abl1_active_000054,-0.06,1,1,1
abl1_active_000055,-1.42,1,1,1
abl1_active_000056,-1.4,1,1,1
abl1_active_000057,-1.41,1,1,1
abl1_active_000058,-1.71,1,1,1
abl1_active_000059,-1.2,1,1,1
abl1_active_000060,-1.37,1,1,1
abl1_active_000061,-1.31,1,1,1
abl1_active_000062,-1.28,1,1,1
abl1_active_000063,-0.54,1,1,1
abl1_active_000064,-0.57,1,1,1
abl1_active_000065,-1.26,1,1,1
abl1_active_000066,-1.34,1,1,1
abl1_active_000067,-1.14,1,1,1
abl1_active_000068,-1.42,1,1,1
abl1_active_000069,-1.97,1,1,1
abl1_active_000070,0.5,1,1,1
abl1_active_000071,0.22,1,1,1
abl1_active_000072,-1.24,1,1,1
abl1_active_000073,-1.75,1,1,1
abl1_active_000074,-0.06,1,1,1
abl1_active_000075,-1.07,1,1,1
abl1_active_000076,-0.78,1,1,1
abl1_active_000077,-1.94,1,1,1
abl1_active_000078,-1.94,1,1,1
abl1_active_000079,-1.02,1,1,1
abl1_active_000080,-1.14,1,1,1
abl1_active_000081,-0.16,1,1,1
abl1_active_000082,-1.26,1,1,1
abl1_active_000083,-0.35,1,1,1
abl1_active_000084,-3.19,1,1,1
abl1_active_000085,-1.37,1,1,1
abl1_active_000086,-1.53,1,1,1
abl1_active_000087,-1.28,1,1,1
abl1_active_000088,0.04,1,1,1
abl1_active_000089,-1.7,1,1,1
abl1_active_000090,-2.72,1,1,1
abl1_active_000091,-3.07,1,1,1
abl1_active_000092,-2.73,1,1,1
abl1_active_000093,-1.2,1,1,1
abl1_active_000094,-1.1,1,1,1
abl1_active_000095,0.25,1,1,1
abl1_active_000096,0.31,1,1,1
abl1_active_000097,0.13,1,1,1
abl1_active_000098,0.26,1,1,1
abl1_active_000099,-1.95,1,1,1
abl1_active_000100,-0.2,1,1,1
abl1_active_000101,-0.15,1,1,1
abl1_active_000102,-0.09,1,1,1
abl1_active_000103,-0.18,1,1,1
abl1_active_000104,-0.13,1,1,1
abl1_active_000105,-0.48,1,1,1
abl1_active_000106,-1.26,1,1,1
abl1_active_000107,-1.55,1,1,1
abl1_active_000108,-0.53,1,1,1
abl1_active_000109,-0.37,1,1,1
abl1_active_000110,0.16,1,1,1
abl1_active_000111,-1.16,1,1,1
abl1_active_000112,-2.47,1,1,1
abl1_active_000113,-1.29,1,1,1
abl1_active_000114,-1.26,1,1,1
abl1_active_000115,-2.17,1,1,1
abl1_active_000116,-1.44,1,1,1
abl1_active_000117,-1.32,1,1,1
abl1_active_000118,-0.9,1,1,1
abl1_active_000119,0.12,1,1,1
abl1_active_000120,0.34,1,1,1
abl1_active_000121,-1.37,1,1,1
abl1_active_000122,-1.71,1,1,1
abl1_active_000123,-0.42,1,1,1
abl1_active_000124,-0.54,1,1,1
abl1_active_000125,-0.98,1,1,1
abl1_active_000126,-1.18,1,1,1
abl1_active_000127,-0.89,1,1,1
abl1_active_000128,-1.28,1,1,1
abl1_active_000129,-0.89,1,1,1
abl1_active_000130,-0.6,1,1,1
abl1_active_000131,-0.45,1,1,1
abl1_active_000132,-0.2,1,1,1
abl1_active_000133,-0.22,1,1,1
abl1_active_000134,-2.24,1,1,1
abl1_active_000135,-0.91,1,1,1
abl1_active_000136,-0.65,1,1,1
abl1_active_000137,-1.45,1,1,1
abl1_active_000138,-2.05,1,1,1
abl1_active_000139,-0.46,1,1,1
abl1_active_000140,-0.97,1,1,1
abl1_active_000141,-1.42,1,1,1
abl1_active_000142,0.38,1,1,1
abl1_active_000143,0.32,1,1,1
abl1_active_000144,-1.32,1,1,1
abl1_active_000145,-1.84,1,1,1
abl1_active_000146,0.4,1,1,1
abl1_active_000147,-0.42,1,1,1
abl1_active_000148,-0.47,1,1,1
abl1_active_000149,-0.91,1,1,1
abl1_active_000150,-1.45,1,1,1
abl1_active_000151,-1.3,1,1,1
abl1_active_000152,0.24,1,1,1
abl1_active_000153,0.12,1,1,1
abl1_active_000154,-0.93,1,1,1
abl1_active_000155,-1.08,1,1,1
abl1_active_000156,0.51,1,1,1
abl1_active_000157,-1.54,1,1,1
abl1_active_000158,-1.29,1,1,1
abl1_active_000159,-3.09,1,1,1
abl1_active_000160,-2.08,1,1,1
abl1_active_000161,-0.08,1,1,1
abl1_active_000162,-0.66,1,1,1
abl1_active_000163,-0.48,1,1,1
abl1_active_000164,-1.55,1,1,1
abl1_active_000165,-1.59,1,1,1
abl1_active_000166,-0.66,1,1,1
abl1_active_000167,-2.51,1,1,1
abl1_active_000168,-0.68,1,1,1
abl1_active_000169,-1.13,1,1,1
abl1_active_000170,-2.99,1,1,1
abl1_active_000171,-1.74,1,1,1
abl1_active_000172,0.11,1,1,1
abl1_active_000173,-1.66,1,1,1
abl1_active_000174,-1.28,1,1,1
abl1_active_000175,-1.33,1,1,1
abl1_active_000176,-1.37,1,1,1
abl1_active_000177,-2.04,1,1,1
abl1_active_000178,-3.0,1,1,1
abl1_active_000179,-1.07,1,1,1
abl1_active_000180,-1.75,1,1,1
abl1_active_000181,-2.14,1,1,1
abl1_active_000182,-1.9,1,1,1
abl1_active_000183,-1.94,1,1,1
abl1_active_000184,-2.27,1,1,1
abl1_active_000185,-1.79,1,1,1
abl1_active_000186,-2.15,1,1,1
abl1_active_000187,-1.0,1,1,1
abl1_active_000188,-1.41,1,1,1
abl1_active_000189,-1.32,1,1,1
abl1_active_000190,-2.02,1,1,1
abl1_active_000191,-2.28,1,1,1
abl1_active_000192,-2.1,1,1,1
abl1_active_000193,-0.67,1,1,1
abl1_active_000194,-2.18,1,1,1
abl1_active_000195,-1.95,1,1,1
abl1_active_000196,-3.34,1,1,1
abl1_active_000197,-1.89,1,1,1
abl1_active_000198,-0.64,1,1,1
abl1_active_000199,0.67,1,1,1
abl1_active_000200,-0.55,1,1,1
abl1_active_000201,-0.6,1,1,1
abl1_active_000202,-0.72,1,1,1
abl1_active_000203,-1.85,1,1,1
abl1_active_000204,-1.58,1,1,1
abl1_active_000205,-2.01,1,1,1
abl1_active_000206,-1.51,1,1,1
abl1_active_000207,-2.46,1,1,1
abl1_active_000208,-2.2,1,1,1
abl1_active_000209,-1.91,1,1,1
abl1_active_000210,-1.9,1,1,1
abl1_active_000211,-0.29,1,1,1
abl1_active_000212,-1.17,1,1,1
abl1_active_000213,-1.2,1,1,1
abl1_active_000214,0.45,1,1,1
abl1_active_000215,0.43,1,1,1
abl1_active_000216,-1.06,1,1,1
abl1_active_000217,-1.31,1,1,1
abl1_active_000218,-1.19,1,1,1
abl1_active_000219,-2.5,1,1,1
abl1_active_000220,-2.49,1,1,1
abl1_active_000221,-0.21,1,1,1
abl1_active_000222,-0.92,1,1,1
abl1_active_000223,-1.23,1,1,1
abl1_active_000224,-1.13,1,1,1
abl1_active_000225,-0.47,1,1,1
abl1_active_000226,-0.43,1,1,1
abl1_active_000227,-2.81,1,1,1
abl1_active_000228,-0.41,1,1,1
abl1_active_000229,-0.19,1,1,1
abl1_active_000230,-0.02,1,1,1
abl1_active_000231,-2.1,1,1,1
abl1_active_000232,-1.16,1,1,1
abl1_active_000233,-0.76,1,1,1
abl1_active_000234,-0.62,1,1,1
abl1_active_000235,-0.95,1,1,1
abl1_active_000236,-1.76,1,1,1
abl1_active_000237,-1.64,1,1,1
abl1_active_000238,-0.88,1,1,1
abl1_active_000239,-1.49,1,1,1
abl1_active_000240,0.76,1,1,1
abl1_active_000241,0.58,1,1,1
abl1_active_000242,-0.38,1,1,1
abl1_active_000243,-1.17,1,1,1
abl1_active_000244,-0.99,1,1,1
abl1_active_000245,-1.37,1,1,1
abl1_active_000246,-0.78,1,1,1
abl1_active_000247,-0.22,1,1,1
abl1_active_000248,0.14,1,1,1
abl1_active_000249,0.12,1,1,1
abl1_active_000250,0.39,1,1,1
abl1_active_000251,0.01,1,1,1
abl1_active_000252,0.05,1,1,1
abl1_active_000253,-1.98,1,1,1
abl1_active_000254,-0.84,1,1,1
abl1_active_000255,-0.83,1,1,1
abl1_active_000256,-0.56,1,1,1
abl1_active_000257,-1.11,1,1,1
abl1_active_000258,0.08,1,1,1
abl1_active_000259,-2.85,1,1,1
abl1_active_000260,-0.23,1,1,1
abl1_active_000261,-0.14,1,1,1
abl1_active_000262,-0.29,1,1,1
abl1_active_000263,-0.88,1,1,1
abl1_active_000264,-0.12,1,1,1
abl1_active_000265,-0.07,1,1,1
abl1_active_000266,-0.89,1,1,1
abl1_active_000267,-1.17,1,1,1
abl1_active_000268,-1.58,1,1,1
abl1_active_000269,-0.06,1,1,1
abl1_active_000270,-1.29,1,1,1
abl1_active_000271,-1.94,1,1,1
abl1_active_000272,0.37,1,1,1
abl1_active_000273,-0.8,1,1,1
abl1_active_000274,-1.36,1,1,1
abl1_active_000275,-2.44,1,1,1
abl1_active_000276,-1.93,1,1,1
abl1_active_000277,-0.7,1,1,1
abl1_active_000278,-1.25,1,1,1
abl1_active_000279,-2.94,1,1,1
abl1_active_000280,-0.48,1,1,1
abl1_active_000281,-1.57,1,1,1
abl1_active_000282,-1.69,1,1,1
abl1_active_000283,-0.64,1,1,1
abl1_active_000284,-0.04,1,1,1
abl1_active_000285,-0.51,1,1,1
abl1_active_000286,0.66,1,1,1
abl1_active_000287,-2.39,1,1,1
abl1_active_000288,-2.16,1,1,1
abl1_active_000289,-2.25,1,1,1
abl1_active_000290,-1.26,1,1,1
abl1_active_000291,-1.48,1,1,1
abl1_active_000292,-2.23,1,1,1
abl1_active_000293,-2.89,1,1,1
abl1_active_000294,-3.69,1,1,1
abl1_active_000295,-1.16,1,1,1
